[2025-11-09 16:44:44] Partida juego1 | Tema: ciencia | Ranking: [{"juan", -10}]
[2025-11-10 20:31:44] Partida juego1 | Tema: ciencia | Ranking: [{"ju", -15}]
[2025-11-10 20:33:16] Partida 8 | Tema: cultura | Ranking: [{"ju", -15}]
[2025-11-10 20:37:28] Partida 10 | Tema: ciencia | Ranking: [{"ju", -15}]
[2025-11-11 01:08:46] Partida juego5 | Tema: ciencia | Ranking: [{"ju", -10}, {"lola", -10}]
[2025-11-11 01:21:56] Partida 9 | Tema: ciencia | Ranking: [{"ju", -10}, {"milo", -10}]
[2025-11-11 01:32:48] Partida juego11 | Tema: ciencia | Ranking: [{"ju", -10}, {"milo", -10}]
[2025-11-11 01:35:00] Partida juego11 | Tema: ciencia | Ranking: [{"ju", -5}, {"milo", -20}]
[2025-11-11 01:36:19] Partida juego11 | Tema: ciencia | Ranking: [{"ju", 0}, {"milo", -30}]
[2025-11-13 12:11:57] Partida 8 | Tema: ciencia | Ranking: [{"Don Dimadonne", -10}, {"Q", -25}]
[2025-11-13 12:14:15] Partida 5 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}, {"Q", -25}]
[2025-11-13 12:39:13] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", 5}, {"Q", -25}]
[2025-11-13 12:49:18] Partida 8 | Tema: cultura | Ranking: [{"Q", 5}, {"Don Dimadonne", -25}]
[2025-11-13 12:55:46] Partida 8 | Tema: cultura | Ranking: [{"Q", -10}, {"Don Dimadonne", -25}]
[2025-11-13 13:02:49] Partida 5 | Tema: cultura | Ranking: [{"A", -25}, {"Don Dimadonne", -25}, {"Q", -25}]
[2025-11-13 13:08:20] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}]
[2025-11-13 13:27:26] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}, {"Q", -25}]
[2025-11-13 14:00:32] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}]
[2025-11-13 14:16:07] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -10}, {"Q", -10}]
[2025-11-13 14:23:48] Partida 8 | Tema: cultura | Ranking: [{"Q", -10}, {"Don Dimadonne", -25}]
[2025-11-13 15:32:33] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}, {"Q", -25}]
[2025-11-13 15:39:24] Partida 5 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}, {"J", -25}, {"Q", -25}]
[2025-11-13 16:43:00] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}, {"J", -25}, {"Q", -25}]
[2025-11-13 16:59:03] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}, {"J", -25}, {"Q", -25}]
[2025-11-13 17:28:30] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -25}, {"J", -25}, {"Q", -25}, {"S", -25}]
[2025-11-13 19:01:35] Partida 8 | Tema: cultura | Ranking: [{"P", -25}, {"Q", -25}, {"S", -25}, {"V", -25}]
[2025-11-13 19:09:35] Partida 8 | Tema: cultura | Ranking: [{"J", -10}]
[2025-11-13 20:26:38] Partida 8 | Tema: cultura | Ranking: [{"Don Dimadonne", -10}]
[2025-11-13 20:38:47] Partida 1 | Tema: cultura | Ranking: [{"J", -25}, {"P", -25}, {"Q", -25}, {"V", -25}]
